id	store_number	state	city	category_slug	published	has_coord	name
bbe85dec-152f-460c-a888-a1eb45ba5af7	645	MI	Frenchtown	cat-scales	pub	nocoord	CAT Scale — Love's Travel Stop #645, Frenchtown (Monroe)
b7c5c85d-80c3-4b9d-9731-bd1047b7eca5	743	MI	Bridgeport	cat-scales	pub	nocoord	CAT Scale — Love's Travel Stop #743, Bridgeport
c32686ff-6cf3-4422-af97-80b823e07eb9	618	MI	Birch Run	truck-stops	pub	nocoord	Love's Travel Stop #618 (Birch Run)
bd6dadb7-6053-4d42-a0e9-028f9d319b5c	645	MI	Monroe	truck-stops	pub	nocoord	Love's Travel Stop #645
8e2421bd-15c8-49f2-8442-874641d24719	743	MI	Bridgeport	truck-stops	pub	nocoord	Love's Travel Stop #743
146b8332-2938-43e7-ab80-e6069aee6443	645	MI	Frenchtown	tire-repair	pub	nocoord	Love's Truck Care - Frenchtown/Monroe (#645)
8131d6be-dfa1-41ef-a3b2-8528eae25b1e	743	MI	Bridgeport	tire-repair	pub	nocoord	Love's Truck Care / Speedco - Love's Travel Stop #743, Bridgeport
d536ca31-468a-4974-b480-dd9bfb9f264b		NC	Dunn	cat-scales	unpub	nocoord	CAT Scale at Love's Dunn
cabfc0a1-1c23-4475-8fce-1e7f0322d438	308	NC	Marion	cat-scales	pub	nocoord	CAT Scale at Love's Travel Stop #308
d71c3b0e-137c-404e-afd8-35f9caf76be8	930	NC	Kenly	tire-repair	unpub	nocoord	Love's Speedco #930
7b969fa7-19c1-4bd2-b0c5-9663b9007464	308	NC	Marion	truck-stops	pub	nocoord	Love's Travel Stop #308
29c0000b-e9ee-401d-a502-417243b91f6c	412	NC	Dunn	truck-stops	unpub	nocoord	Love's Travel Stop #412
a8527241-4fec-4e27-96d9-f3d5e882376b	356	OH	North Baltimore	cat-scales	pub	nocoord	CAT Scale — Love's Travel Stop #356, North Baltimore
22ecd0b0-6bb4-4069-a825-b571c22bc991	747	OH	Sidney	cat-scales	pub	nocoord	CAT Scale — Love's Travel Stop #747, Sidney
ce2b1d46-bc97-4dd5-8006-b3f0877740b5	356	OH	North Baltimore	truck-stops	pub	nocoord	Love's Travel Stop #356
37c4007f-e708-43e7-9ec3-42a933595dfa	747	OH	Sidney	truck-stops	pub	nocoord	Love's Travel Stop #747
b60e869c-5742-40c5-b837-efc9577a6153	905	OH	Beaverdam	truck-stops	pub	nocoord	Love's Travel Stop #905
148b4646-be1e-4eeb-91b4-1cedff83441a		OH	Dayton	tire-repair	unpub	nocoord	Love's Truck Tire Care - Dayton (S. Edwin C. Moses Blvd)
abdd2d3e-b725-46c9-ac11-0982e7a36962	747	OH	Sidney	truck-washes	pub	nocoord	Love's Truck Wash #747
490090ee-0f38-4901-926b-2b8bc93ff390	747	OH	Sidney	tire-repair	pub	nocoord	Speedco - Love's Travel Stop #747, Sidney
8edd2af2-0264-4f08-aa18-6eb37b42e1c1	905	OH	Beaverdam	tire-repair	pub	nocoord	Speedco - Love's Travel Stop #905, Beaverdam
1f7194fb-6df2-483c-b775-ff8cef29738c		SC	Dillon	cat-scales	unpub	nocoord	CAT Scale at Love's Dillon
c68400b5-2216-4061-901a-4044d44e19ab		SC	Summerton	cat-scales	unpub	nocoord	CAT Scale at Love's Summerton
2237db27-ede4-4872-9149-f2ea2e2fb8c7		SC	Yemassee	cat-scales	unpub	nocoord	CAT Scale at Love's Yemassee
22da63bd-9ee8-45b1-b8cd-ada2c8cb7899	371	SC	Dillon	truck-stops	unpub	nocoord	Love's Travel Stop #371
beb05d53-db50-49cb-8790-ec01b45c8187	420	SC	Florence	truck-stops	unpub	nocoord	Love's Travel Stop #420
b2af1bed-36cf-4497-8e3d-d2c2209fca12	740	SC	Yemassee	truck-stops	unpub	nocoord	Love's Travel Stop #740
a5c289a1-177f-479f-9e18-84571c3d8190	790	SC	Summerton	truck-stops	unpub	nocoord	Love's Travel Stop #790
