source_ref,name,store_type,address,city,state,zip,lat,lng,interstate,exit_number,parking_spaces,overnight_parking,showers,cat_scale,quarantine_reason
947,Love's Truck Care #947,Truck Service,8686 Lake Rd,Seville,OH,44273,41.036204,-81.90678,I-71,209,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
906,Love's Truck Care #906,Truck Service,130 Pilot Dr,Brunswick,GA,31523,31.138121,-81.572924,I-95,29,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
936,Love's Truck Care #936,Truck Service,2920 Losee Rd,North Las Vegas,NV,89030,36.213022,-115.129795,I-15,46,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
921,Love's Truck Care #921,Truck Service,55 Manning Dr,Girard,OH,44420,41.137665,-80.719969,I-80,226,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
903,Love's Truck Care #903,Truck Service,2689 Sidley Ct,Austinburg,OH,44010,41.787213,-80.851761,I-90,223,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
925,Love's Truck Care #925,Truck Service,940 Jimmie Kerr Rd,Haw River,NC,27258,36.072323,-79.350999,I-85,40 / 150,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
930,Love's Truck Care #930,Truck Service,101 Woodard Dr,Kenly,NC,27542,35.582144,-78.148951,I-95,106,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
945,Love's Truck Care #945,Truck Service,23728 Rogers Clark Blvd,Ruther Glen,VA,22546,37.941149,-77.463648,I-95,104,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
924,Love's Truck Care #924,Truck Service,7709 Linglestown Rd,Harrisburg,PA,17112,40.353508,-76.729336,I-81,77,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
917,Love's Truck Care #917,Truck Service,900 Pilot Rd,Fernley,NV,89408,39.615094,-119.26893,I-80,46,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
944,Love's Truck Care #944,Truck Service,1515 Hoff Dr,Ripon,CA,95366,37.755437,-121.139607,,,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
948,Love's Truck Care #948,Truck Service,10916 W Westbow Rd,Spokane,WA,99224,47.58766,-117.567669,I-90,272,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
910,Love's Truck Care #910,Truck Service,3595 HWY 99 W,Corning,CA,96021,39.903238,-122.19678,I-5,South Ave,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
902,Love's Truck Care #902,Truck Service,12227 Melinda Ln,Aurora,OR,97002,45.23277,-122.811602,I-5,278,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
