id	state	city	category_slug	is_published	has_coord	lat	lng	address	zip	parking_spaces	interstate	source	name
31584983-7e0f-4210-9f62-8cf69cc29ec4	OH	North Baltimore	cat-scales	true	false			12906 Deshler Rd	45872		I-75	csv-import	CAT Scale — Petro Stopping Center #325, North Baltimore
33e41d22-1dac-425b-a17d-c9b6affcda21	GA	Jackson	truck-stops	true	true	33.205898	-84.058286	122 Truck Stop Way	30233	108	I-75	csv-import	TA Atlanta South #268
366ea2a6-4116-4ce3-bc64-01fdac0dcb60	AR	Atkins	truck-stops	true	false			100 Fish Lake Road	72823	100	I-40	csv-import	TA Express Atkins
36d48fe4-d2ce-4d99-987a-9e8341644b7a	GA	Kingsland	truck-stops	true	true	30.79386	-81.667699	1105 E King Ave	31548		I-95	csv-import	Petro Stopping Center #344 (TA/Petro Kingsland)
383a91a5-b35c-448c-ac46-a2204f600caa	TN	Kingston Springs	roadside-service	true	false			162 Luyben Hills Rd	37082		I-40	csv-import	TA Truck Service #349 (Petro Kingston Springs)
3c6b703c-e8bb-418c-902c-1733badf33f6	IN	Remington	roadside-service	true	false			4230 W US Hwy 24	47977		I-65	csv-import	TA Truck Service at Petro Remington
3e5fef77-bc72-4174-b45d-04f6096c8fde	AR	Earle	truck-stops	true	false			408 Highway 149 N	72331		I-40	csv-import	TA Earle (TravelCenters of America #033)
46c70f80-8582-44d1-a7b6-ea9423392fea	TN	Knoxville	tire-repair	true	true	35.8731	-84.2379	615 Watt Rd	37922	176	I-75	csv-import	TA Truck Service - TA Knoxville West
4d1432ba-9d0d-4905-909b-2fce8d5d6497	OH	North Baltimore	roadside-service	true	false			12906 Deshler Rd		250	I-75	csv-import	TA Truck Service - Petro #325, North Baltimore
4e5234b6-1305-4705-941d-ec5a77370983	GA	Kingsland	cat-scales	true	true	30.79386	-81.667699	1105 E King Ave	31548		I-95	csv-import	CAT Scale at Petro Kingsland (#344)
4f94e1cf-fe15-4bba-917c-9f389ab3bd04	MI	Monroe	tire-repair	true	false			1255 N Dixie Hwy	48162		I-75	csv-import	TA Truck Service - Monroe (#069)
5003bce1-1cfa-45ff-a23d-5f31e1df1450	KY	Walton	tire-repair	true	false			145 Richwood Rd	41094		I-75	csv-import	TA Truck Service - TA Walton
51296b6f-d325-4a97-a48f-d7a315a5e7e0	OH	Wapakoneta	truck-stops	true	false			1775 Bellefontaine Street	45895	145	I-75	csv-import	TA Wapakoneta #082
51f35bd0-85e6-45f9-9360-71e5110f4c79	TN	Knoxville	cat-scales	true	false			722 Watt Rd	37934	250	I-75	csv-import	CAT Scale — Petro Knoxville #312, Knoxville (Watt Road)
54d7e6d4-f558-42b6-af10-f87f0b9fe8e6	MI	Monroe	roadside-service	true	false			1255 N Dixie Hwy	48162		I-75	csv-import	TA Truck Service - Monroe
5c20a67d-267d-4868-aba5-210a14624dbc	FL	Reddick	tire-repair	true	false			7401 W Hwy 318	32686		I-75	csv-import	TA Truck Service - Petro Ocala
5ca065f4-b503-45a1-9636-b5d8e4505c36	IN	Remington	cat-scales	true	false			4230 W US Hwy 24	47977		I-65	csv-import	CAT Scale at Petro Remington #382
5e829807-6932-4f13-b44f-e5dea115f755	TN	Knoxville	truck-stops	true	false			722 Watt Rd	37934	250	I-75	csv-import	Petro Knoxville
5ff985fa-b430-487b-8217-485a94e97d7d	AR	North Little Rock	cat-scales	true	false			3205 Valentine Rd	72117		I-40	csv-import	CAT Scale at Petro Stopping Center #326
6127835d-06d1-42a8-bfdc-aa63201b3ff4	OH	Wapakoneta	cat-scales	true	false			1775 Bellefontaine St	45895		I-75	csv-import	CAT Scale — TA Wapakoneta #082, Wapakoneta
647347d8-57c8-4ae1-8388-cdd3897bd0bf	TN	Franklin	tire-repair	true	false			4400 Peytonsville Road	37064		I-65	csv-import	TA Truck Service - TA Franklin #157
687996be-4fd9-4464-a9b3-3df5b2c7f505	FL	Lake City	truck-stops	true	false			14197 S US Highway 441	32024	150	I-75	csv-import	TA Travel Center #288 (Lake City)
68afff98-8a4c-42be-b099-e87e50b08a38	TN	Cookeville	truck-stops	true	false			1750 Salem Rd	38506	59	I-40	csv-import	TA Express Cookeville
6bad6451-4f76-45b8-9a3b-4a1aad414f83	GA	Richmond Hill	truck-stops	true	true	31.926549	-81.332619	4401 US Highway 17	31324		I-95	csv-import	TA Savannah (TravelCenters of America #177)
6d390c19-277a-4cba-952d-0d1f19caa00a	GA	Cartersville	tire-repair	true	true	34.273972	-84.807762	981 Cassville White Rd NW	30121		I-75	csv-import	TA Truck Service - TA Cartersville
6de301f3-14ca-4c44-b816-1820cd9f4ae7	FL	Reddick	cat-scales	true	false			7401 W Highway 318	32686		I-75	csv-import	CAT Scale — Petro Stopping Center #323, Reddick
713ec7f7-b945-4cab-8cda-063d5d117e1b	FL	Wildwood	tire-repair	true	false			556 E State Road 44	34785		I-75	csv-import	TA Truck Service - Wildwood
74398e08-61e6-41b8-b3fd-e22c6c6cf6d0	FL	Saint Johns	truck-stops	false	false			1650 County Road 210 W	32259		I-95	csv-import	TA Jacksonville South #248
76b5c804-3a44-4f97-bbce-c1f66830b180	AR	Atkins	cat-scales	true	false			100 Fish Lake Road	72823		I-40	csv-import	CAT Scale at TA Express Atkins
779bb801-20f2-4567-b127-011270581bd1	IN	Gary	roadside-service	true	false			3001 Grant St	46408		I-65	csv-import	TA Truck Service at Petro Gary
783d1792-e352-4fb3-bd2b-fc38951c19c8	IN	Gary	truck-stops	true	false			2510 Burr St	46406	318	I-65	csv-import	TA Gary #010 (Burr Street)
7a03c1f5-6b4d-4951-98a2-a3e752d2270b	VA	Ashland	truck-stops	false	false				23005		I-95	csv-import	TA Richmond (TravelCenters of America)
7ac0bc00-385a-48e5-875a-1576872a51f5	TN	Knoxville	cat-scales	true	true	35.8731	-84.2379	615 Watt Rd	37922	176	I-75	csv-import	CAT Scale — TA Knoxville West #269, Knoxville (Watt Road)
7b340f8f-28fc-4bca-83a8-bee8a793a4fb	MI	Monroe	truck-stops	true	false			1255 N Dixie Hwy	48162	156	I-75	csv-import	TA Travel Center - Monroe #069
7d74bb54-f22d-4594-8bc8-9d9710f88ac0	FL	Vero Beach	truck-stops	true	true	27.639101	-80.510512	8909 20th St	32966		I-95	csv-import	TA Vero Beach #197
7eaa790a-ef79-4337-8268-12328f968bfb	AR	North Little Rock	roadside-service	true	false			3205 Valentine Rd	72117		I-40	csv-import	TA Truck Service #326 (at Petro N. Little Rock)
7ee7902b-c0a6-4f09-8cd7-ba06e9ecb000	IN	Gary	roadside-service	true	false			2510 Burr St	46406		I-65	csv-import	TA Truck Service at TA Gary
8018aa5b-c428-465d-9809-fde4e03cd4a2	TN	Kingston Springs	truck-stops	true	false			162 Luyben Hills Rd	37082		I-40	csv-import	Petro Stopping Center Kingston Springs #349
805a25ba-76a7-4f54-a6f6-0cc3ec6e3ff9	KY	Florence	roadside-service	true	false			7777 Burlington Pike	41042		I-75	csv-import	TA Truck Service - TA Florence
8578017a-7ea0-4c38-a6ed-abf7b5a39d0f	IN	Gary	truck-stops	true	false			3001 Grant St	46408	405	I-65	csv-import	Petro Gary #369 (Grant Street)
8bf6630b-8c97-45c5-b219-f6b2e21d760a	SC	Florence	truck-stops	true	true	34.23863	-79.810541	2301 W Lucas St	29501		I-95	csv-import	Petro / TA Florence (TravelCenters of America #195)
8e79a54d-cad6-460c-9fd5-d5d118342bd3	VA	Stony Creek	cat-scales	true	true	36.978252	-77.395402	13306 St John Church Rd	23882		I-95	csv-import	CAT Scale at TA Express Stony Creek
904bda8d-b42d-49ce-88d2-5b2fd4ca4191	FL	Reddick	truck-stops	true	false			7401 W Highway 318	32686	270	I-75	csv-import	Petro Stopping Center #323 (Ocala / Reddick)
91b8ddaa-6012-4ab7-839a-ded888eb912d	NC	Candler	truck-stops	true	false			153 Wiggins Rd	28715	106	I-40	csv-import	TA Candler (TravelCenters of America #221)
93653e22-f954-4d6b-acd8-9f547ce4b947	GA	Lake Park	truck-stops	true	true	30.643997	-83.18766	6901 Bellville Rd	31636	75	I-75	csv-import	TA Lake Park #249
9c955780-f55e-47c3-b3d1-62781388e2af	FL	Saint Johns	tire-repair	false	false			1650 County Road 210 W	32259		I-95	csv-import	TA Truck Service - Jacksonville South
a8c59dd9-a02e-41d1-b843-850c5fa78b43	IN	Whitestown	roadside-service	true	false			5930 E State Road 334	46075		I-65	csv-import	TA Truck Service - Whitestown
aa56235a-c422-4907-84f7-289e8ff3d204	GA	Jackson	tire-repair	true	true	33.206476	-84.058568	122 Truckstop Way	30233	108	I-75	csv-import	TA Truck Service - TA Atlanta South
ae07d309-759d-4ad4-bf96-96cc0f8f3ebe	AL	Hanceville	roadside-service	true	false			426 AL Highway 69 S	35077		I-65	csv-import	TA Truck Service at Petro Dodge City
ae5c7f98-3827-4f30-a664-af01f578db47	MD	Elkton	tire-repair	true	true	39.645113	-75.797782	1400 Elkton Road	21921		I-95	csv-import	TA Truck Service (Elkton)
b051d12e-5a30-48cf-b09f-641248bd3468	AR	West Memphis	cat-scales	true	false			3900 Petro Rd	72301		I-40	csv-import	CAT Scale at Petro Stopping Center #311
b3599210-d9f5-44da-8fc9-fedf5816e0ed	AR	Earle	roadside-service	true	false			408 Highway 149 N	72331		I-40	csv-import	TA Truck Service - TA Earle
b5977e77-d52c-472c-8621-4ea27662cfb4	MI	Bridgeport	tire-repair	true	false			6364 Dixie Hwy	48722		I-75	csv-import	TA Truck Service - Saginaw (#198)
b621363d-e4d4-40c6-a04d-09e950264b12	SC	Manning	truck-stops	true	true	33.703696	-80.242196	3014 Paxville Hwy	29102		I-95	csv-import	TA Manning (TravelCenters of America #179)
b9b49d33-ae7d-4ca0-b197-6986c17eef18	IN	Seymour	truck-stops	true	false			2636 E Tipton St	47274	184	I-65	csv-import	TA Seymour
bb4d283f-1f08-4acd-a062-850f5bc309c6	OH	North Baltimore	truck-stops	true	false			12906 Deshler Rd	45872	250	I-75	csv-import	Petro Stopping Center #325
bd27e9bc-6b14-4810-b20d-26a04702c477	IN	Remington	truck-stops	true	false			4230 W US Hwy 24	47977	150	I-65	csv-import	Petro Stopping Center #382
bd4ef3ee-4a8d-48f5-bb60-aaa6dddd648d	OH	Wapakoneta	roadside-service	true	false			1775 Bellefontaine St	45895	145	I-75	csv-import	TA Truck Service - TA Wapakoneta #082, Wapakoneta
c5817bd7-5700-4967-ae76-f2c259d84dc7	TN	Pioneer	tire-repair	true	true	36.37677	-84.248712	305 Howard Baker Hwy	37847	80	I-75	csv-import	TA Truck Service - TA Caryville
c63db5dc-8787-4c30-b828-16e6ea586188	IN	Seymour	roadside-service	true	false			2636 E Tipton St	47274		I-65	csv-import	TA Truck Service - Seymour
c836ca77-8b3f-4c79-b105-d28f08025772	TN	Cookeville	cat-scales	true	false			1750 Salem Rd	38506		I-40	csv-import	CAT Scale at TA Express Cookeville
cd4783d1-b67c-4c09-b056-6a72f5606229	TN	Knoxville	truck-stops	true	false			615 Watt Rd	37922	176	I-75	csv-import	TA Knoxville West
d19be5c3-65f2-471d-9281-0cfeeaa8ceb0	TN	Franklin	truck-stops	true	false			4400 Peytonsville Road	37064	74	I-65	csv-import	TA Franklin (TravelCenters of America #157)
d434bf32-4491-4e98-bf73-b3902abf4f8d	TN	Franklin	cat-scales	true	false			4400 Peytonsville Road	37064		I-65	csv-import	CAT Scale - TA Franklin #157
d7c49137-e82a-4601-8f1b-d35d8d932c3e	MI	Bridgeport	cat-scales	true	false			6364 Dixie Hwy	48722	70	I-75	csv-import	CAT Scale — TA Saginaw #198, Bridgeport
de64c6c1-113f-4ede-a07c-93d02f8f1193	FL	Lake City	tire-repair	true	false						I-75	csv-import	TA Truck Service - Lake City
dee17bfa-a6bf-4da0-8d48-95a9231de439	KY	Walton	truck-stops	true	false			145 Richwood Rd	41094	90	I-75	csv-import	TA Walton
e0b210c3-6279-48a6-b091-059a2aa3a3ca	AL	Montgomery	roadside-service	true	false			980 W South Blvd	36105		I-65	csv-import	TA Truck Service — Montgomery
e102d6bd-874c-43d0-b9f6-c8a9dbbe4832	MD	Baltimore	truck-stops	true	true	39.2775	-76.5488	5501 O'Donnell Street	21224		I-95	csv-import	TA Baltimore #216
e36e07df-2f06-48a6-9494-8cf3b0f4cc15	VA	Ashland	truck-stops	false	false				23005		I-95	csv-import	TA Ashland (TravelCenters of America)
eb48d156-9ad9-4fa3-b8eb-cfc7b29a49a4	MI	Bridgeport	truck-stops	true	false			6364 Dixie Hwy	48722	70	I-75	csv-import	TA Saginaw #198 (Bridgeport)
ebb8ad22-3283-4fc6-9918-66a8ef8ef9dd	VA	Stony Creek	truck-stops	true	true	36.978252	-77.395402	13306 St John Church Rd	23882		I-95	csv-import	TA Express Stony Creek (former Davis Travel Center)
ec42dd30-c4fc-415f-9b7e-c4627f74bae6	TN	Knoxville	tire-repair	true	false			722 Watt Rd	37934	250	I-75	csv-import	TA Truck Service - Petro Knoxville
eec1d852-2b50-47f7-a59e-b1238f1ace2d	KY	Florence	truck-stops	true	false			7777 Burlington Pike	41042	123	I-75	csv-import	TA Florence
f35c37d4-6118-40c1-8380-1edf8e79777d	MD	Elkton	truck-stops	true	true	39.6436	-75.7974	1400 Elkton Road	21921		I-95	csv-import	TA Elkton #019
f92acc99-4e8c-4f4a-9eb4-3953a57aae4f	NC	Candler	roadside-service	true	false			153 Wiggins Rd	28715		I-40	csv-import	TA Truck Service - Candler
ff19357b-eb93-4483-9e4e-ebb40e07fe36	MD	Jessup	truck-stops	true	true	39.1667	-76.7828	7401 Assateague Drive	20794		I-95	csv-import	TA Baltimore South #151
