id,name,state,city,provenance,publication_verdict,facility_verdict,coordinate_verdict,overnight_verdict,reason_codes,duplicate_candidate_ids,completeness_score,pending_reports,candidate_source_to_verify,owner_action
a55fe534-cdce-4fa2-946f-7e54ac747462,I-95 Johnston County Rest Area (MM 99),NC,Selma,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,47,0,https://www.ncdot.gov/travel-maps/traffic-travel/rest-areas/,retrieve and record source: https://www.ncdot.gov/travel-maps/traffic-travel/rest-areas/
f2ee667c-a7d7-4e9d-9f9d-b3333d69bb73,I-95 Nash County Rest Area (MM 142),NC,Battleboro,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,47,0,https://www.ncdot.gov/travel-maps/traffic-travel/rest-areas/,retrieve and record source: https://www.ncdot.gov/travel-maps/traffic-travel/rest-areas/
d4a2a4fa-6bf3-407f-a16d-eb56851d1818,I-95 South N.C. Welcome Center,NC,Rowland,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,64,0,https://www.visitnc.com/i-95-south-nc-welcome-center,retrieve and record source: https://www.visitnc.com/i-95-south-nc-welcome-center
754ad6c5-67c3-471c-a1f0-a2add44818fa,McDowell County Rest Area I-40 Eastbound (MM 82),NC,Marion,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,43,0,https://www.ncdot.gov/travel-maps/traffic-travel/rest-areas/Pages/default.aspx,retrieve and record source: https://www.ncdot.gov/travel-maps/traffic-travel/rest-areas/Pages/default.aspx
ff910909-fb85-4078-89de-733cdf1b24f3,McDowell County Rest Area I-40 Westbound (MM 82),NC,Marion,legacy-import,non-parking,weigh-or-inspection-only,missing,unknown,WEIGH_STATION_NOT_PARKING PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,43,0,https://www.ncdot.gov/travel-maps/traffic-travel/rest-areas/Pages/default.aspx,recategorise or reject
046b382e-6805-4be0-867d-d919b6cedadb,North Carolina Welcome Center - I-95 Northampton,NC,Pleasant Hill,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,56,0,https://www.commerce.nc.gov/contact/north-carolina-welcome-centers,retrieve and record source: https://www.commerce.nc.gov/contact/north-carolina-welcome-centers
af93fa04-c103-493c-aa68-469a003407a6,"Truck Parking Club - 1960 US Highway 70 SE, Hickory",NC,Hickory,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING OVERNIGHT_LEGACY_BOOLEAN_ONLY FREE_PAID_UNSOURCED RESERVABILITY_UNSOURCED,,53,0,https://truckparkingclub.com/truck-parking/north-carolina/hickory/1960-us-highway-70-southeast-28602,retrieve and record source: https://truckparkingclub.com/truck-parking/north-carolina/hickory/1960-us-highway-70-southeast-28602
431362ab-4fef-4f4f-bfb1-5a6b46b0ceec,"Truck Parking Club - 325 U.S. Hwy 70 SW, Hickory",NC,Hickory,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING OVERNIGHT_LEGACY_BOOLEAN_ONLY FREE_PAID_UNSOURCED RESERVABILITY_UNSOURCED,,59,0,https://truckparkingclub.com/truck-parking/north-carolina/hickory/325-u-s--hwy-70-sw-28602,retrieve and record source: https://truckparkingclub.com/truck-parking/north-carolina/hickory/325-u-s--hwy-70-sw-28602
d111217f-786e-4b71-b57e-ffa4dca9f3b2,Truck Parking Club - 47 Walker Way,NC,Canton,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING,,24,0,,find an official source
01d5116b-6fc7-4a6f-909d-11d594522aab,Truck Parking Club - Candler lot off Smokey Park Hwy,NC,Candler,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING OVERNIGHT_LEGACY_BOOLEAN_ONLY FREE_PAID_UNSOURCED RESERVABILITY_UNSOURCED,,55,0,https://truckparkingclub.com/us/north-carolina/asheville,retrieve and record source: https://truckparkingclub.com/us/north-carolina/asheville
