listing_id,business_name,city,state,interstate,lat,lng,severity,findings,miles_outside_state,miles_outside_corridor
f272ad94-84b1-4088-8ce0-b1efa77a4230,"Michigan Weigh Station - I-75 Northbound (Oakland County, Baldwin Rd)",Auburn Hills,MI,I-75,,,no-coordinates,no-coordinates,,
d0b37299-61ff-49e7-bcc9-46d9ce6616ab,Michigan Weigh Station - I-75 Southbound (Birch Run),Birch Run,MI,I-75,,,no-coordinates,no-coordinates,,
86d47759-3b76-45cc-af33-522640ecec16,Michigan Welcome Center - Mackinaw City (I-75),Mackinaw City,MI,I-75,,,no-coordinates,no-coordinates,,
9cd99e1e-66f3-43a9-977f-2f0e3f9e9810,Michigan Welcome Center - Sault Ste. Marie (I-75),Sault Ste. Marie,MI,I-75,,,no-coordinates,no-coordinates,,
55ea9889-c967-4506-aab5-c5fb836ee30e,Michigan Welcome Center - St. Ignace (I-75),St. Ignace,MI,I-75,,,no-coordinates,no-coordinates,,
efbad094-7467-424f-9228-acbf39f3a599,Microtel Inn & Suites by Wyndham Dry Ridge,Dry Ridge,KY,I-75,,,no-coordinates,no-coordinates,,
734dcb31-77d9-4a4a-a07c-f710c03cff1e,Midwest Commercial Semi-Truck Tire Center,Gary,IN,I-65,,,no-coordinates,no-coordinates,,
f975e826-2c84-4032-ae61-177240dec9fb,Mike's Diesel Tech,Sellersburg,IN,I-65,,,no-coordinates,no-coordinates,,
b329619c-5f8f-4cdc-97f9-71cc089f535d,Miller-Motte CDL Training (Fayetteville),Fayetteville,NC,I-95,,,no-coordinates,no-coordinates,,
1288759e-4934-4d85-ba1a-ea9684af445f,Monroe Truck & RV Wash,Monroe,MI,I-75,,,no-coordinates,no-coordinates,,
64df8068-a463-497f-8070-1b0e238de908,Morgan Shell Truck Stop,North Little Rock,AR,I-40,,,no-coordinates,no-coordinates,,
5708f6be-07ee-4cde-8568-47b94d8cb9ca,Morgan Valero Truck Stop,North Little Rock,AR,I-40,,,no-coordinates,no-coordinates,,
