listing_id,business_name,category,address,city,state,zip,current_latitude,current_longitude,proposed_latitude,proposed_longitude,confidence,source_url,verification_notes,action,confidence_reason,reviewer_notes,priority
8f9f63e8-3893-4921-a48e-66dabad53692,Blue Beacon Truck Wash of Knoxville,truck-washes,1501 Everett Rd,Knoxville,TN,37932,,,35.873100,-84.237900,medium,,mile-marker interpolation; interpolated between mileposts 369 and 369 (gap 0 mi); interpolated point is within 0.05 mi of listing 46c70f80-8582-44d1-a7b6-ea9423392fea,manual-review,anchor gap based; capped at medium by design,check near-duplicate against listing 46c70f80-8582-44d1-a7b6-ea9423392fea,high
b2b47835-26cd-4b73-9b81-aeb562872970,"CAT Scale — Pilot Travel Center (Flying J #722), Knoxville (Watt Road)",cat-scales,800 Watt Rd,Knoxville,TN,37932,,,35.873100,-84.237900,medium,,mile-marker interpolation; interpolated between mileposts 369 and 369 (gap 0 mi); interpolated point is within 0.05 mi of listing 46c70f80-8582-44d1-a7b6-ea9423392fea,manual-review,anchor gap based; capped at medium by design,check near-duplicate against listing 46c70f80-8582-44d1-a7b6-ea9423392fea,high
b76a9ddb-e96a-4ae7-941c-03d2cee8417a,Circle K (Little Debbie Parkway),truck-stops,5020 Little Debbie Parkway,Collegedale,TN,,,,35.063425,-85.073130,medium,,mile-marker interpolation; interpolated between mileposts 11 and 11 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
bc4ff9f8-a138-4a2c-9fc2-e6b9017faea7,"CAT Scale — Pilot Travel Center #403 (ONE9 Travel Center), Heiskell",cat-scales,1915 E Raccoon Valley Rd,Heiskell,TN,37754,,,36.111070,-84.020183,medium,,mile-marker interpolation; interpolated between mileposts 117 and 117 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
c5817bd7-5700-4967-ae76-f2c259d84dc7,TA Truck Service - TA Caryville,tire-repair,305 Howard Baker Hwy,Pioneer,TN,37847,,,36.376770,-84.248712,medium,,mile-marker interpolation; interpolated between mileposts 141 and 141 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
c73ec493-6f43-42fd-94ef-d086b83eaf2b,"CAT Scale — Speedway #7147, Athens",cat-scales,2920 Decatur Pike,Athens,TN,37303,,,35.469129,-84.652949,medium,,mile-marker interpolation; interpolated between mileposts 49 and 49 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
c9d1ece9-f5fc-4358-a8c5-6467efdda424,JP Truck Center,truck-stops,2320 Hwy 411 NE,Cartersville,GA,30121,,,34.241411,-84.774739,medium,,mile-marker interpolation; interpolated between mileposts 293 and 293 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
cce804c6-fbf4-4d3b-8e4f-000952e40fc6,"CAT Scale — Pilot Travel Center #481, McDonald (Cleveland)",cat-scales,281 Pleasant Grove Road SW,McDonald,TN,37353,,,35.153142,-84.952948,medium,,mile-marker interpolation; interpolated between mileposts 20 and 20 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
cd4783d1-b67c-4c09-b056-6a72f5606229,TA Knoxville West,truck-stops,615 Watt Rd,Knoxville,TN,37922,,,35.873100,-84.237900,medium,,mile-marker interpolation; interpolated between mileposts 369 and 369 (gap 0 mi); interpolated point is within 0.05 mi of listing 46c70f80-8582-44d1-a7b6-ea9423392fea,manual-review,anchor gap based; capped at medium by design,check near-duplicate against listing 46c70f80-8582-44d1-a7b6-ea9423392fea,high
d296a4d1-0b43-4775-8060-7aff11dcba16,Allstate Repair (All State Truck Stop),roadside-service,475 Pine St,Unadilla,GA,31091,,,32.256023,-83.738816,medium,,mile-marker interpolation; interpolated between mileposts 121 and 121 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
