listing_id,address,city,state,zip,interstate
1c02288f-f710-4fbd-9d1b-29dfe8967a38,8930 Laredo Ave,Fort Myers,FL,,I-75
1c18704d-99b4-4644-865c-b0d740b9ccd5,7720 Highway 222,Stanton,TN,38069,I-40
1c2331c1-e7c3-4f1c-8080-8c77e26ca570,5501 O'Donnell Street,Baltimore,MD,21224,I-95
1c486059-1bf4-47b8-845f-e817c22b7674,61 Heather Lane,Perryville,MD,21903,I-95
1c5cf5a8-eda7-4a20-aa0c-d7011ff28f65,715 Cahaba Valley Rd,Pelham,AL,35124,I-65
1ccf0377-ac4f-4d85-9b13-c810b44a0045,105 Dee Dee Lane,Lonoke,AR,72086,I-40
1d1a2d76-46d8-46cc-9759-a9da44e2e53b,3231 E 181st Ave,Hebron,IN,46341,I-65
1d38a614-f929-4747-95c3-7ae04f61c4e0,2225 Hwy 411 NE,Cartersville,GA,30121,I-75
1d82a098-865a-4a0a-9c55-c56dc2c9feee,3350 Stop 8 Rd,Dayton,OH,45414,I-75
1dac7271-b06e-47a7-9845-3ea235276d79,82 White St,Whiteland,IN,46184,I-65
1de92b6e-da68-4c61-9d31-9e03ca0ebe79,3198 Lexington Rd,Richmond,KY,40475,I-75
1dfbe578-4d95-4f90-b00b-ba6cff921daf,"I-75 Southbound, mile point 34 (Laurel County)",London,KY,40744,I-75
1e0c5c8d-b62b-4a4b-ba92-9da72d04e6d7,2752 US Highway 17 S,Brunswick,GA,31523,I-95
1e57efa0-5b56-4594-a360-0801367f7795,2075 E Tipton St,Seymour,IN,47274,I-65
1e5e8cf7-5200-430a-9b46-ba3712f54745,400 Federal Ave,Saginaw,MI,48607,I-75
1ea6395c-a3b6-45ea-8e77-44eeca7f1ef6,2054 St Joseph Drive NW,Cullman,AL,35055,I-65
1f226de3-a16d-434e-9db3-2cb86dbf9e31,1625 County Road 210 W,Saint Johns,FL,32259,I-95
1f59471c-8952-4a0c-953a-1bf402096b87,410 Triport Rd,Georgetown,KY,40324,I-75
1f6e7f3a-9e20-4a57-8eae-d44d24a80243,130 W Trinity Ln,Nashville,TN,37207,I-65
1f7194fb-6df2-483c-b775-ff8cef29738c,1911 Highway 34 W,Dillon,SC,29536,I-95
1f830c7e-1a16-4115-930e-f93f59c31b80,8805 W State Road 114,Rensselaer,IN,47978,I-65
1fabdfbe-abcc-4db1-b41b-dec1fa3d3fa7,1333 Matzinger Rd,Toledo,OH,43612,I-75
1fbc776a-057a-4370-96e9-bc049b0385a8,4255 NW Highway 326,Ocala,FL,34482,I-75
20055899-b195-49e7-ab99-e86cadf665e4,617 Lovell Rd,Knoxville,TN,37932,
20527ca4-925d-432f-a857-1150c2a09ba8,"I-95 Northbound, Mile Marker 154",Dale City,VA,22193,I-95
2063c01e-5281-4755-bb20-ddf02a1653bd,"I-40 Eastbound, Mile Marker 10",Waynesville,NC,28786,I-40
208bb775-28c3-4123-8bd8-6eaaeac77ad4,"I-95 Median Service Plaza, Mile Marker 82",Aberdeen,MD,21001,I-95
20ea502e-9d1f-43e3-b369-520d35c38c5f,3900 Petro Rd,West Memphis,AR,72301,I-40
2138c8b1-489c-4aa9-9fe9-51cf8fb72982,118 Richwood Rd,Walton,KY,41094,I-75
2149578a-d42a-49e8-a93a-a0744b2a14f6,900 Kings Hwy,Port Charlotte,FL,33980,I-75
214dc102-0732-4ffa-85a4-bf40a8856a14,1073 Highway 78 N,Wheatley,AR,72392,I-40
21dc37d4-6706-44d4-8dee-b871cdce17d4,300 Arby Dr,Clanton,AL,35045,I-65
2237db27-ede4-4872-9149-f2ea2e2fb8c7,409 Yemassee Hwy,Yemassee,SC,29945,I-95
2289120c-d34a-4d96-b705-81286bd97f02,1025 S Crawford St,Clarksville,AR,72830,I-40
22ab6bbc-2890-4b91-bb54-c04c6dd80a89,422 E State Road 44,Wildwood,FL,34785,I-75
22cffdfb-5e39-47fe-98ce-884b5739ea6c,2971 Highway 48 S,Dickson,TN,37055,I-40
22da63bd-9ee8-45b1-b8cd-ada2c8cb7899,1911 Highway 34 W,Dillon,SC,29536,I-95
22e3b5de-964b-4b46-84a0-cbc8d5e0d746,7420 Bonny Oaks Dr,Chattanooga,TN,37421,I-75
22ecd0b0-6bb4-4069-a825-b571c22bc991,2241 Fair Rd,Sidney,OH,45365,I-75
233d03c8-da5e-4cb2-b239-c48f238ec2a1,2215 Cale Yarborough Hwy,Sardis,SC,,I-95
245d9e0f-cb95-461e-822a-e458c03212ed,556 E State Road 44,Wildwood,FL,34785,I-75
25069c9b-3d38-41b7-bb33-37f20bf3a4f1,6405 W M-72,Grayling,MI,49738,I-75
253d5108-e1f2-4387-ad7d-b82e1a18712a,636 N Irwin St,Dayton,OH,45403,I-75
25721d01-d3ed-4da5-a9cc-448fd166e75b,426 AL Highway 69 S,Hanceville,AL,35077,I-65
25dea13e-8d96-411a-8945-782f2b5694d4,"I-95 Southbound, Mile Marker 47",Fayetteville,NC,28306,I-95
25e73d4a-657a-498b-9deb-ceabc08caef4,16101 Highway 84,Evergreen,AL,36401,I-65
25f235a7-b4f9-4aba-8ac7-e3d4f34c1b33,14262 SR-119 (OH-119),Anna,OH,45302,I-75
261a3522-4245-43c2-98c9-31a3856a7650,1600 Fox Street,Findlay,OH,45840,I-75
264a6af3-ac80-4829-a8b5-299cd3590a41,800 S Outer Drive,Saginaw,MI,,I-75
