listing_id,business_name,category,address,city,state,zip,current_latitude,current_longitude,proposed_latitude,proposed_longitude,confidence,source_url,verification_notes,action
97c2f56e-498f-48f7-90e7-3f44713cd4ab,Motel 6 Berea,hotels-truck-parking,1029 Cooper Dr,Berea,KY,40403,,,37.597624,-84.316155,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 1029 Cooper Dr, Berea, KY 40403; matched: 1029 COOPER DR, BEREA, KY, 40403",ready
97e31e0f-bc66-4f04-af6a-f802c20e42c2,Newport Truck and Trailer Repair & Heavy Duty Towing,roadside-service,116 Jasmine Dr,Newport,TN,37821,,,35.976674,-83.213077,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 116 Jasmine Dr, Newport, TN 37821; matched: 116 JASMINE RD, NEWPORT, TN, 37821",ready
989e6437-46b1-45ce-a5b2-7f7d4d0cb18a,Pilot Travel Center #4584,truck-stops,1504 SC-38,Latta,SC,29565,,,34.346188,-79.537044,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 1504 SC-38, Latta, SC 29565; matched: 1504 HWY 38 W, LATTA, SC, 29565",ready
98a38aa5-c4ed-4534-b331-56b71a9a2edf,CAT Scale at Pilot Skippers,cat-scales,781 Moores Ferry Rd,Skippers,VA,23879,,,36.606678,-77.559744,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 781 Moores Ferry Rd, Skippers, VA 23879; matched: 781 MOORES FERRY RD, SKIPPERS, VA, 23879",ready
98e68fa9-34aa-446a-b6c4-f8fce0026b24,"Truck Parking Club - Shell/Gold Star Lot, 355 Violet Rd (Crittenden)",parking,355 Violet Rd,Crittenden,KY,41030,,,38.789007,-84.608182,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 355 Violet Rd, Crittenden, KY 41030; matched: 355 VIOLET RD, CRITTENDEN, KY, 41030",ready
997324d7-302b-489e-b985-a31d43e886f5,"Love's Truck Care - Love's Travel Stop #291, Richmond",tire-repair,3799 Colonel Rd,Richmond,KY,40475,,,37.843704,-84.325476,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 3799 Colonel Rd, Richmond, KY 40475; matched: 3799 COLONEL RD, RICHMOND, KY, 40475",ready
997524e9-7d7a-48d1-b5e5-21ece287e0ec,Speedco #920 (Gary),roadside-service,5225 W 26th Ave,Gary,IN,46406,,,41.571580,-87.401114,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 5225 W 26th Ave, Gary, IN 46406; matched: 5225 W 26TH AVE, GARY, IN, 46406",ready
99b0069f-3667-4fae-80d2-e582dbf64ea4,QuikTrip #7154 Travel Center,truck-stops,1731 Whitten Rd,Memphis,TN,,,,35.172166,-89.836665,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 1731 Whitten Rd, Memphis, TN; matched: 1731 WHITTEN RD, MEMPHIS, TN, 38134",ready
9acc0450-cc55-4324-92b7-85d68f4e4b0b,Superior Wash,truck-washes,11155 Mosteller Road,Sharonville,OH,45241,,,39.272994,-84.430434,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 11155 Mosteller Road, Sharonville, OH 45241; matched: 11155 MOSTELLER RD, SHARONVILLE, OH, 45241",ready
9b0bb934-cb3a-499c-b362-8f665e065b81,Flying J Travel Plaza #749 (Carmel Church),truck-stops,23866 Rogers Clark Blvd,Ruther Glen,VA,22546,,,37.938440,-77.466779,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 23866 Rogers Clark Blvd, Ruther Glen, VA 22546; matched: 23866 ROGERS CLARK BLVD, RUTHER GLEN, VA, 22546",ready
9b1575ec-7faf-47cb-b245-8d261efc12a0,"Truck Parking Club - 8814 Dietz Ave, Hickory",parking,8814 Dietz Ave,Hickory,NC,28602,,,35.706461,-81.431003,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 8814 Dietz Ave, Hickory, NC 28602; matched: 8814 DIETZ AVE, HICKORY, NC, 28602",ready
9c2aa267-97a4-41b0-b7f0-9f4bf832fde8,Super 8 by Wyndham Sidney,hotels-truck-parking,2009-B Michigan Street,Sidney,OH,,,,40.287751,-84.185114,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 2009-B Michigan Street, Sidney, OH; matched: 2009 MICHIGAN ST, SIDNEY, OH, 45365",ready
9c955780-f55e-47c3-b3d1-62781388e2af,TA Truck Service - Jacksonville South,tire-repair,1650 County Road 210 W,Saint Johns,FL,32259,,,30.066006,-81.495280,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 1650 County Road 210 W, Saint Johns, FL 32259; matched: 1650 CO RD 210, SAINT JOHNS, FL, 32259",ready
9cc571cf-6f5a-47bd-8cae-b59626a344e9,"CAT Scale — Charlie's Country Corner (Fick & Sons), Grayling",cat-scales,5800 Nelson A Miles Pkwy,Grayling,MI,49738,,,44.600633,-84.712410,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 5800 Nelson A Miles Pkwy, Grayling, MI 49738; matched: 5800 NELSON A MILES PKWY, GRAYLING, MI, 49738",ready
9d5b4987-bd0e-4332-ae57-b774ca5ee801,Flying J Travel Center #622,truck-stops,100 N Kings Hwy,Fort Pierce,FL,34945,,,27.447890,-80.398967,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 100 N Kings Hwy, Fort Pierce, FL 34945; matched: 100 N KINGS HWY, FORT PIERCE, FL, 34945",ready
9dc5d00c-ead7-4a91-a14d-318deff7c7fc,Comfort Inn & Suites Wildwood - The Villages,hotels-truck-parking,1224 S Main St,Wildwood,FL,34785,,,28.838571,-82.045344,medium,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 1224 S Main St, Wildwood, FL 34785; matched: 1224 S MAIN ST, WILDWOOD, FL, 34785",manual-review
9eaf0102-674a-4c29-a360-b2de6807e4f1,"Pilot Travel Center #424 (Ocala, 4032 Hwy 326)",truck-stops,4032 W Highway 326,Ocala,FL,34482,,,29.266822,-82.189487,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 4032 W Highway 326, Ocala, FL 34482; matched: 4032 CO RD 326, OCALA, FL, 34475",ready
9eb4f46e-b11a-4d3c-be3b-6e34a79f3631,CAT Scale at TA Candler,cat-scales,153 Wiggins Rd,Candler,NC,28715,,,35.544526,-82.755393,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 153 Wiggins Rd, Candler, NC 28715; matched: 153 WIGGINS RD, CANDLER, NC, 28715",ready
9eb5cdaa-1e13-48a0-b82f-d573166dfe03,Speedway #3424,truck-stops,1475 W Market St,Troy,OH,,,,40.054403,-84.189237,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 1475 W Market St, Troy, OH; matched: 1475 N MARKET ST, TROY, OH, 45373",ready
9ecc9414-262e-42ef-befa-82f1c3180514,I-40 Truck Park (Truck & RV Parking),parking,2611 Genesis Rd,Crossville,TN,38571,,,35.987416,-85.010640,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 2611 Genesis Rd, Crossville, TN 38571; matched: 2611 GENESIS RD, CROSSVILLE, TN, 38571",ready
9f3e2546-35b1-4aa4-a738-c98b944696e6,CAT Scale at TA Savannah,cat-scales,4401 US Highway 17,Richmond Hill,GA,31324,,,31.926549,-81.332619,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 4401 US Highway 17, Richmond Hill, GA 31324; matched: 4401 US HWY 17, RICHMOND HILL, GA, 31324",ready
