source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities,has_parking
447,Pilot Travel Center,Pilot,Pilot Travel Center #447,1042 E Warrenton Rd,Haubstadt,IN,47639,38.17445122298883,-87.54915905770683,I-64,25B,"I-64, Exit 25B",98,8,8,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,true
471,Pilot Travel Center,Pilot,Pilot Travel Center #471,35647 US-27,Haines City,FL,33844,28.118135261911668,-81.63873781190185,,,US-27 & Commerce Ave,87,7,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,true
472,Pilot Travel Center,Pilot,Pilot Travel Center #472,525 S 1st St,Beasley,TX,77417,29.49550671168256,-95.9113181386404,,,US-59 & Isleib Rd,56,8,7,,,false,Electric Vehicle Charging Station | Mobile Ordering,true
580,Flying J Travel Center,Flying J,Flying J Travel Center #580,5900 E I-20,Odessa,TX,79766,31.8647144,-102.3020479,I-20,121,"I-20, Exit 121",101,11,10,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,true
586,Pilot Travel Center,Pilot,Pilot Travel Center #586,6705 MS-63,Moss Point,MS,39563,30.43834086750137,-88.5287859398117,I-10,69,"I-10, Exit 69",73,10,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true
594,Pilot Travel Center,Pilot,Pilot Travel Center #594,2815 Singing Hills Blvd,Sioux City,IA,51111,42.43553384203598,-96.3733973558197,I-29,143,"I-29, Exit 143",90,8,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,true
704,Flying J Travel Center,Flying J,Flying J Travel Center #704,4801 NE 122nd St,Edmond,OK,73013,35.596136,-97.43662,I-35,137,"I-35/44/344, Exit 137",73,8,8,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true
760,Flying J Travel Center,Flying J,Flying J Travel Center #760,10501 US-30,Cokeville,WY,83114,42.086774271368405,-110.94798590311048,,,US-30 & WY-232,90,5,4,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,true
759,Flying J Travel Center,Flying J,Flying J Travel Center #759,2250 Etchepare Dr,Cheyenne,WY,82007,41.09874285318394,-104.85338723009414,I-25,7,"I-25, Exit 7",180,10,12,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true
887,Pilot Dealer,Pilot,Pilot Dealer #887,1100 US-180,Snyder,TX,79549,32.70521692897363,-100.86561173488059,,,US-84 & US-180,40,4,0,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | Check Cashing | DEF Lanes | Lottery | Pegasus,true
