db_id,source_ref,official_name,db_name,state,city,lat,lng,interstate,exit_number,parking_spaces,existing_parking_spaces,fills,never_written,evidence,currently_published,currently_has_coord,receives_map_pin
062c24f7-7145-41f3-97f7-431b2d8965b3,6990,Pilot Travel Center,Pilot Travel Center #6990,NC,Kenly,35.58299557135885,-78.14789037301635,,106,125,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
d7265e8b-ae0a-4d0b-84f1-de75c9f7a70d,430,Pilot Travel Center,Pilot Travel Center #430,AR,Russellville,35.28063189312379,-93.09278987752802,,84,,130,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
ca4da6a3-c18d-4f65-88ec-1076319eb6c5,88,ONE9 Travel Center,Pilot / ONE9 Travel Center #88,FL,Cocoa,28.359164203862274,-80.79245792270183,,201,8,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
894798c3-0460-4016-b5a1-ca4505143ee5,92,Pilot Travel Center,Pilot Travel Center #92 (Ocala),FL,Ocala,29.267799374341905,-82.19160579877662,,358,,130,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
34ba01ad-945f-4960-b099-01964f28815d,278,Mr. Fuel Travel Center,Mr. Fuel Travel Center (One9 Fuel Network),KY,Walton,38.91921224492679,-84.62533229563141,,175,,15,lat+lng,overnight_parking+parking_restrictions+is_indexable,address+brand+state+address+brand,true,false,true
362f1bd5-2789-488a-8652-ffa580d9737a,411,Pilot Travel Center,Pilot Travel Center #411,TN,Lebanon,36.1791753,-86.2994386,,238,,150,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
9d5b4987-bd0e-4332-ae57-b774ca5ee801,622,Flying J Travel Center,Flying J Travel Center #622,FL,Fort Pierce,27.448956010822528,-80.3977813214264,,131,156,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
39a7ad06-c801-4b4f-8ea1-3d847839a62c,875,Flying J Travel Center,Flying J Travel Center #875,MD,Elkton,39.63836410068015,-75.80598211474991,,109A,230,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
7d145a52-2a8c-420b-87c8-5c8668bca4d9,293,Pilot Travel Center,"Pilot Travel Center #293 (Ocala, SR 484)",FL,Ocala,29.02513864695603,-82.15903012349477,,341,,60,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
3e2d7707-cfa9-4fff-a6e1-b564b40bfc32,895,Flying J Travel Center,Flying J Travel Center #895 - Woodhaven,MI,Woodhaven,42.13676883345559,-83.23951225141504,,32A/B,254,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
d4d6ed3b-3e72-4011-b0cc-29783bc21dd0,47,Pilot Travel Center,Pilot Travel Center #47,KY,Georgetown,38.27672724577639,-84.56014385515596,,129,,90,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
d806f887-5291-49e4-8e36-4e7ae97c3996,271,Pilot Travel Center,Pilot Travel Center #271 (Burr Street),IN,Gary,41.57311335096673,-87.40281201852419,,6,215,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
6d8f6cd0-78e1-489f-9f94-7878cba55e77,500,Pilot Travel Center,Pilot Travel Center #500 (Jasper),FL,Jasper,30.5163005,-83.0587583,,460,,90,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
f0129700-18d1-49cf-b92f-0be14a549686,627,Flying J Travel Center,Flying J Travel Center #627,GA,Brunswick,31.14016746021323,-81.57832099692367,,29,150,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
3f7408df-a39e-46cd-843a-61694fabbe9c,898,Pilot Dealer,Pilot Travel Center - Sadler's Emporia,VA,Emporia,36.7045199441136,-77.55285515344238,,11B,300,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,address+brand+state+address+brand,false,false,true
58ed9375-a7ad-4139-95ec-8c928564778c,4556,Pilot Travel Center,"Pilot Travel Center #4556 (Wildwood, 744 SR 44)",FL,Wildwood,28.873736500809937,-82.09055893068847,,329,75,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+brand,true,false,true
07d998a5-79fa-4b95-b63f-7bbeb29ca62e,406,Pilot Travel Center,Pilot Travel Center #406,TN,Cornersville,35.30525595924141,-86.88404011772155,,22,,20,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
9eaf0102-674a-4c29-a360-b2de6807e4f1,424,Pilot Travel Center,"Pilot Travel Center #424 (Ocala, 4032 Hwy 326)",FL,Ocala,29.26616378692671,-82.18890931994056,,358,,125,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
f7f69a6a-d032-46ee-9ce6-52796f556a07,448,Pilot Travel Center,Pilot Travel Center #448 (Hebron),IN,Hebron,41.290344107421696,-87.2951070101934,,240,,135,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
da698161-6d20-4069-9e12-64db6fb9cf21,9,Pilot Travel Center,Pilot Travel Center #9,OH,Franklin,39.542654037902615,-84.29043254773055,,36,,200,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
bf859b17-33b7-4fb7-995a-1d7cb462c529,360,Pilot Travel Center,Pilot Travel Center #360,OH,Findlay,41.136826925351244,-83.66038718114063,,164,,80,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+brand,true,false,true
6c2078f9-7d25-48bf-8e8f-10d24ac2b372,393,Pilot Travel Center,Pilot Travel Center #393,NC,Waynesville,35.5727,-82.955867,,24,,60,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
