id	store_number	state	city	category_slug	is_published	has_coord	address	zip	lat	lng	interstate	source	name
7b36b126-6502-447f-bb23-84c4010f7203		VA	Colonial Heights	cat-scales	false	false	2126 Ruffin Mill Rd	23834			I-95	csv-import	CAT Scale at Pilot Colonial Heights
72ff780f-93e7-4421-b8a0-9d79a49205fd		NC	Dunn	cat-scales	false	false	65 Sadler Rd	28334			I-95	csv-import	CAT Scale at Pilot Dunn (Sadler Travel Plaza)
3b130209-e596-4c15-a1fa-522cf7d933bc	337	SC	Florence	cat-scales	false	false	2015 W Lucas St	29501			I-95	csv-import	CAT Scale at Pilot Florence (#337)
a74a9bb2-0a9c-4427-89d6-22e8715c7b7e	62	SC	Florence	cat-scales	false	false	3006 N Williston Rd				I-95	csv-import	CAT Scale at Pilot Florence (#62)
9691fa24-7dec-48e1-83f0-6c8549f85d40		FL	Fort Pierce	cat-scales	false	false	7300 Okeechobee Rd	34945			I-95	csv-import	CAT Scale at Pilot Fort Pierce
a3953ace-f227-41eb-8824-30476efb2e60		SC	Hardeeville	cat-scales	false	false	15976 Whyte Hardee Blvd	29927			I-95	csv-import	CAT Scale at Pilot Hardeeville
67d39304-81ee-485f-a23a-0882d8ace653	4562	GA	Kingsland	cat-scales	false	false	2607 Scrubby Bluff Rd	31548			I-95	csv-import	CAT Scale at Pilot Kingsland (#4562)
a2881397-1a79-4517-be05-ad60362466c9		MD	Perryville	cat-scales	false	false	31 Heather Lane	21903			I-95	csv-import	CAT Scale at Pilot Perryville
c155ccb3-73d8-4cee-ab06-8be51125d95c		NC	Pleasant Hill	cat-scales	false	false	2032 NC-48	27866			I-95	csv-import	CAT Scale at Pilot Pleasant Hill
64c31cfc-87b8-41a8-a05f-fd70a50df17c	71	GA	Port Wentworth	cat-scales	false	false	7001 GA-21	31407			I-95	csv-import	CAT Scale at Pilot Port Wentworth (#71)
7f946536-b497-41a6-8f8a-e85b2b6b110d	34	IN	Remington	cat-scales	true	false	4154 W US Hwy 24	47977			I-65	csv-import	CAT Scale at Pilot Remington #34
b9c7c0fd-8292-4f9f-8424-ab1914e68738		VA	Emporia	cat-scales	false	false	918 W Atlantic St	23847			I-95	csv-import	CAT Scale at Pilot Sadler's Emporia
98a38aa5-c4ed-4534-b331-56b71a9a2edf		VA	Skippers	cat-scales	false	false	781 Moores Ferry Rd	23879			I-95	csv-import	CAT Scale at Pilot Skippers
6d1d4dd4-a6c9-418b-a766-edfb108c2503	575	GA	St. Marys	cat-scales	false	false	491 St Marys Rd	31548			I-95	csv-import	CAT Scale at Pilot St. Marys (#575)
bae44b4e-68ae-41f8-a15f-219606517dbf		IN	Gary	cat-scales	true	false	2501 Burr St	46406			I-65	csv-import	CAT Scale at Pilot Travel Center (Burr Street, Gary)
8bdb3077-44fb-4228-8ae3-6328fa661a28		AL	Good Hope	cat-scales	true	false	1600 County Road 437	35055			I-65	csv-import	CAT Scale at Pilot Travel Center (Good Hope)
9fa8f22a-5b4b-40a7-a594-885560ee35a0		IN	Hebron	cat-scales	true	false	18011 Colorado St	46341			I-65	csv-import	CAT Scale at Pilot Travel Center (Hebron)
3a315155-9a8c-4d6f-8c1c-d3373bd4865e	1063	NC	Marion	cat-scales	true	false	3365 Sugar Hill Rd	28752			I-40	csv-import	CAT Scale at Pilot Travel Center #1063
fb6a3d1d-098f-4dc5-92cb-f5c128c1edc8	114	TN	Crossville	cat-scales	true	false	2449 Genesis Rd	38571			I-40	csv-import	CAT Scale at Pilot Travel Center #114
5497dc27-dbdc-44b7-8f64-3fd3f6504007	219	TN	Knoxville	cat-scales	true	false	7210 Strawberry Plains Pike	37914			I-40	csv-import	CAT Scale at Pilot Travel Center #219
683aa9c6-51fa-479d-8042-b597b0bf2958	332	AR	North Little Rock	cat-scales	true	false	3300 Highway 391 N	72117			I-40	csv-import	CAT Scale at Pilot Travel Center #332
c36a20c0-a035-4478-93c5-c93dceffb194	406	TN	Cornersville	cat-scales	true	false	9211 Lewisburg Highway	37047			I-65	csv-import	CAT Scale at Pilot Travel Center #406
0244b320-2bb1-4d47-a16f-53da1663fa6b	411	TN	Lebanon	cat-scales	true	false	921 Murfreesboro Rd	37090			I-40	csv-import	CAT Scale at Pilot Travel Center #411
85185773-3082-49d5-b2f0-74135faedfe7	429	AR	West Memphis	cat-scales	true	false	1100 Martin Luther King Jr Dr	72301			I-40	csv-import	CAT Scale at Pilot Travel Center #429
42fe1af3-f619-4058-a721-afb10238dae3	430	AR	Russellville	cat-scales	true	false	215 AR-331 N	72802			I-40	csv-import	CAT Scale at Pilot Travel Center #430
00ced50d-f1f6-4e29-9a16-1b866beedef0	441	AL	Priceville	cat-scales	true	false	3240 Point Mallard Parkway SE	35603			I-65	csv-import	CAT Scale at Pilot Travel Center #441
a109cc92-378c-4d57-ac39-da50a5c2a2c6	713	SC	Latta	truck-stops	false	false	111 Mill Branch Rd	29565			I-95	csv-import	Flying J / ONE9 Travel Center #713
455f776b-7681-45be-8604-fdb9593beb44	493	SC	Saint George	truck-stops	false	false	113 Motel Dr	29477			I-95	csv-import	Flying J Travel Center #493
f77f6c23-384f-4f64-af4d-2b73d30dbfbb	604	AL	Hope Hull	truck-stops	true	false	900 Tyson Rd	36043			I-65	csv-import	Flying J Travel Center #604
99e14e2c-5498-4df1-b60b-7ff743aec8ae	605	AR	Russellville	truck-stops	true	false	42 Bradley Cove Rd	72801			I-40	csv-import	Flying J Travel Center #605
394f5b7a-2970-453b-91d4-fc87c30a51a0	607	AR	West Memphis	truck-stops	true	false	3400 Service Loop Rd	72301			I-40	csv-import	Flying J Travel Center #607
9d5b4987-bd0e-4332-ae57-b774ca5ee801	622	FL	Fort Pierce	truck-stops	false	false	100 N Kings Hwy	34945			I-95	csv-import	Flying J Travel Center #622
c372a30e-8b6d-44db-b71f-1a3621ef7a7e	626	FL	Saint Augustine	truck-stops	false	false	950 FL-206 W	32086			I-95	csv-import	Flying J Travel Center #626
