source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities,has_parking,disposition,db_ids,match_evidence,note
718,Mr. Fuel Travel Center,Mr. Fuel Travel Center,Mr. Fuel Travel Center #718,8915 Weier Rd,Pevely,MO,63070,38.285981,-90.405087,I-55,180,"I-55, Exit 180",15,5,2,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | DEF Lanes | Lottery | Pegasus | Mobile Ordering,true,net-new-official-location,,,
728,Flying J Travel Center,Flying J,Flying J Travel Center #728,1301 Horizon Blvd,El Paso,TX,79928,31.66205260095058,-106.23808794708252,I-10,37,"I-10, Exit 37",120,12,11,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,net-new-official-location,,,
732,Mr. Fuel Travel Center,Mr. Fuel Travel Center,Mr. Fuel Travel Center #732,2840 Salt Springs Rd,Girard,OH,44420,41.1391107292473,-80.71790146670246,I-80,226,"I-80, Exit 226",60,14,10,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,true,net-new-official-location,,,
746,Flying J Travel Center,Flying J,Flying J Travel Center #746,2025 S 900 W,Salt Lake City,UT,84104,40.72664906240593,-111.91559221804722,I-15,17,"I-15 & I-80 SR201, Exit 17",110,8,9,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
874,Pilot Dealer,Pilot,Pilot Dealer #874,17696 SW 8th St,Miami,FL,33194,25.760367914776484,-80.48067181349181,,,US-41 & FL-997,26,6,0,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Pegasus | Truck Parking Spaces | Truck Wash,true,net-new-official-location,,,
876,Flying J Travel Center,Flying J,Flying J Travel Center #876,23866 Rogers Clark Blvd,Ruther Glen,VA,22546,37.94051969909014,-77.46853838227842,I-95,104,"I-95, Exit 104",250,10,22,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,b2d64c85-4150-4bf2-a7ed-a8f2d9ea31f4,,1 colocated service row(s) exist but no map-pin row
889,Flying J Dealer,Flying J,Flying J Dealer #889,101 S 45th St,Mount Vernon,IL,62864,38.311428503288255,-88.95743122090148,I-64,95,"I-64/57, Exit 95",200,8,0,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,true,net-new-official-location,,,
891,Pilot Dealer,Pilot,Pilot Dealer #891,1470 Route 46 East,Ledgewood,NJ,07852,40.89213026508659,-74.68616187368013,I-80,,I-80 Exit 27B/Exit 27 A&B,15,4,0,,,false,Diesel Lanes | Diesel Mobile Fueling | ATM | Check Cashing | Lottery | Pegasus | Truck Wash,true,net-new-official-location,,,
893,Flying J Dealer,Flying J,Flying J Dealer #893,7005 N Chestnut St,Avoca,IA,51521,41.49949089379883,-95.33456159196967,I-80,40,"I-80, Exit 40",200,11,0,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Drivers Lounge | Pegasus | Truck Parking Spaces,true,net-new-official-location,,,
897,Pilot Dealer,Pilot,Pilot Dealer #897,16650 NW 27th Ave,Opa Locka,FL,33054,25.925588263065816,-80.2452391643486,,FL-817,"FL-826, Exit FL-817",20,10,0,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | Check Cashing | Game Room | Lottery | Pegasus | Truck Parking Spaces,true,net-new-official-location,,,
