db_id,source_ref,official_name,db_name,state,city,address,evidence,db_published,db_has_coord
8cb6aa2b-13c3-4f79-8b1b-ee434bb8cee8,4651,Pilot Travel Center,Pilot Travel Center #4651,VA,Skippers,781 Moore's Ferry Rd,store_number+address+brand,false,false
a8a32662-d389-4d96-9653-6fde235726d0,353,Pilot Travel Center,Pilot Travel Center #353,KY,Georgetown,110 Triport Rd,store_number+address+brand,true,false
49310225-476e-403f-bc11-b296444ee454,1063,Pilot Travel Center,Pilot Travel Center #1063,NC,Marion,3365 Sugar Hill Rd,store_number+address+brand,true,false
4c7eff4b-4b93-4969-8d19-5fb1d388779b,4597,Pilot Travel Center,Pilot Travel Center #4597,TN,Gordonsville,502 Gordonsville Hwy,store_number+address+brand,true,false
da315672-4e7f-4389-a555-4e4b7aa1d94a,71,Pilot Travel Center,Pilot Travel Center #71,GA,Port Wentworth,7001 GA-21,store_number+address+brand,false,false
781f82b8-a9a0-4264-bebf-044a9aba151f,67,Pilot Travel Center,Pilot Travel Center #67,GA,Cartersville,968 Cassville White Rd,store_number+address+coordinate_0m+brand,true,true
444e4c77-93aa-4cbc-a8f7-825079fac2f3,481,Pilot Travel Center,Pilot Travel Center #481,TN,McDonald,281 Pleasant Grove Road SW,store_number+address+coordinate_0m+brand,true,true
c251431a-ff37-4d55-9b22-1fd126b525aa,602,Pilot Travel Center,Pilot Travel Center #602,AL,Birmingham,224 Daniel Payne Dr,store_number+address+brand,true,false
f77f6c23-384f-4f64-af4d-2b73d30dbfbb,604,Flying J Travel Center,Flying J Travel Center #604,AL,Hope Hull,900 Tyson Rd,store_number+address+brand,true,false
4b07b610-8186-4ad2-b037-cb9c402928a9,34,Pilot Travel Center,Pilot Travel Center #34,IN,Remington,4154 US-24,store_number+address+brand,true,false
e780ec0a-3a95-42b8-b7bd-eca1cadf2a72,265,ONE9 Travel Center,ONE9 Travel Center (Pilot #265),TN,Cookeville,1111 S Jefferson Ave,store_number+address+brand,true,false
6e1f345b-b3fd-42bb-848c-acfb5573ebc8,366,Pilot Travel Center,Pilot Travel Center #366,TN,Jackson,30 Sand Pebble Dr,store_number+address+brand,true,false
455f776b-7681-45be-8604-fdb9593beb44,493,Flying J Travel Center,Flying J Travel Center #493,SC,Saint George,113 Motel Dr,store_number+address+brand,false,false
1beb847b-eca9-4b86-a151-558340292504,624,Flying J Travel Center,Flying J Travel Plaza #624 (Dade City / San Antonio),FL,San Antonio,29933 State Rd 52,store_number+address+brand,true,false
54eb73aa-b523-42b7-bb42-be43bfe1e235,664,Flying J Travel Center,Flying J Travel Center #664,KY,Walton,13019 Walton Verona Rd,store_number+address+brand,true,false
