source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities
861,Flying J Travel Center,Flying J,Flying J Travel Center #861,63100 Flood Hope Rd,Hope,BC,V0X 1L2,49.36544678735627,-121.48335242460632,,168,"Hwy 1, Exit 168",50,10,7,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces
798,Flying J Travel Center,Flying J,Flying J Travel Center #798,1291 Cliveden Ave,Annacis Island Delta,BC,V5M 6G4,49.17019808449875,-122.95529727231788,,9,"BC-91, Exit 9",4,8,2,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | Check Cashing | Cylinder Propane | Drivers Lounge | Lottery | Pegasus | Truck Parking Spaces
839,Flying J Travel Center,Flying J,Flying J Travel Center #839,354 Voyageur Rd,Ste Agathe,MB,R0G 1Y1,49.569483,-97.192021,,,MB-305 & MB-75,44,7,4,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Cylinder Propane | DEF Lanes | Public Laundry | Truck Parking Spaces
786,Flying J Travel Center,Flying J,Flying J Travel Center #786,50 Pembina Rd,Sherwood Park,AB,T8H 2G9,53.566835326400536,-113.3169472924862,,400C,"Hwy 16, Exit 400C",142,8,9,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces
805,Flying J Travel Center,Flying J,Flying J Travel Center #805,1765 Albion Rd,Etobicoke,ON,M9W 5S7,43.74379548441107,-79.60819996315993,,,ON-27 & Albion Rd,10,4,0,,,false,Diesel Lanes | Diesel Mobile Fueling | ATM | Check Cashing | Pegasus | Truck Parking Spaces
824,Flying J Travel Center,Flying J,Flying J Travel Center #824,5329 Govenlock Mountain Rd,Whitecourt,AB,T7S 1G6,54.1365867,-115.695849,,,AB-43 & Govenlock Rd,41,8,4,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces
865,Flying J Dealer,Flying J,Flying J Dealer #865,2000 Clements Rd,Pickering,ON,L1W 4A1,43.828488,-79.047768,,399,"ON-401, Exit 399",50,9,0,,,true,Diesel Lanes | Showers | Premium Wifi | ATM | CAT Scale | Check Cashing | Drivers Lounge | Pegasus | Public Laundry | Truck Parking Spaces
860,Flying J Travel Center,Flying J,Flying J Travel Center #860,1637 Pettit Rd,Fort Erie,ON,L2A 5M4,42.92129621141171,-78.96722853926944,,5,"QEW, Exit 5",110,8,5,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Cylinder Propane | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces
863,Flying J Travel Center,Flying J,Flying J Travel Center #863,1800 N Service Rd,Balgonie,SK,S0G 0E0,50.478307197569194,-104.28936935038776,,,Hwy 1 & SK-46,98,9,7,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces
1200,Flying J Dealer,Flying J,Flying J Dealer #1200,3806 Highway St,Valleyview,AB,T0H 3Z0,55.05163200823135,-117.28273436878663,,36/39 Ave,"AB-43, Exit 36/39 Ave",10,3,0,,,false,Diesel Lanes | ATM | Lottery | Pegasus | Truck Parking Spaces
