id,name,state,field,approved_value,source_file,source_sha256,master_date,evidence_directions,concurrency
9c7bdf1a-fe83-41ef-a925-a73eb3c4d4a4,Petro Ontario,CA,exit_number,57,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,I-10 & Milliken Ave. Exit 57,False
ac2fb202-c39a-49e4-a1ae-fc78ab554009,TA Coachella,CA,interstate,I-10,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,I-10 at Exit 146 (Dillon Rd.),False
ac2fb202-c39a-49e4-a1ae-fc78ab554009,TA Coachella,CA,exit_number,146,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,I-10 at Exit 146 (Dillon Rd.),False
d58dbde6-582b-4601-8bbf-bd8999741f2f,TA Redding,CA,interstate,I-5,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-5, Knighton Road",False
f522cc1a-d3b9-4b42-8e57-55f35c07fa69,TA Ontario,CA,interstate,I-10,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,I-10 at Milliken Avenue,False
fb50e64a-1887-4db8-9415-2059d8b7ae88,TA Buttonwillow,CA,interstate,I-5,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-5, Exit 257, Highway 58",False
fb50e64a-1887-4db8-9415-2059d8b7ae88,TA Buttonwillow,CA,exit_number,257,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-5, Exit 257, Highway 58",False
1af7e56a-9913-49a4-99c2-9ab5af0dcdb3,Petro Johnson's Corner,CO,interstate,I-25,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-25, Exit 254",False
1af7e56a-9913-49a4-99c2-9ab5af0dcdb3,Petro Johnson's Corner,CO,exit_number,254,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-25, Exit 254",False
5d30b5eb-cba8-4759-af08-66c1a63dced3,TA Commerce City,CO,interstate,I-70,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-70/I-270, Exit 278 (Quebec St. Exit)",True
5d30b5eb-cba8-4759-af08-66c1a63dced3,TA Commerce City,CO,exit_number,278,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-70/I-270, Exit 278 (Quebec St. Exit)",True
6005b068-702b-42c9-9fcd-43c73359591d,TA Pueblo,CO,interstate,I-25,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,I-25 Exit 104,False
6005b068-702b-42c9-9fcd-43c73359591d,TA Pueblo,CO,exit_number,104,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,I-25 Exit 104,False
67812e7e-dcd5-4673-954d-4f4d783ba708,TA Express Brush,CO,interstate,I-76,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-76, Exit 90",False
67812e7e-dcd5-4673-954d-4f4d783ba708,TA Express Brush,CO,exit_number,90,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-76, Exit 90",False
72b9f7a6-7ee8-4498-b53e-6d3ef73fbfe1,TA Limon,CO,interstate,I-70,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-70 & Hwy 24, Exit 359",False
72b9f7a6-7ee8-4498-b53e-6d3ef73fbfe1,TA Limon,CO,exit_number,359,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-70 & Hwy 24, Exit 359",False
84c4403f-64c2-46e5-b2a5-bd39557d8f80,TA Wheat Ridge,CO,interstate,I-70,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-70, Exit 266",False
84c4403f-64c2-46e5-b2a5-bd39557d8f80,TA Wheat Ridge,CO,exit_number,266,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-70, Exit 266",False
bf0d01cb-2d92-4e53-9ccd-340cff7bfb4a,TA Express Walsenburg,CO,interstate,I-25,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-25, Exit 52",False
bf0d01cb-2d92-4e53-9ccd-340cff7bfb4a,TA Express Walsenburg,CO,exit_number,52,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-25, Exit 52",False
b1a810d9-fa26-4b9f-a829-7ff3a327a6ed,TA Southington,CT,interstate,I-84,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-84, Exit 28, Highway 322",False
b1a810d9-fa26-4b9f-a829-7ff3a327a6ed,TA Southington,CT,exit_number,28,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-84, Exit 28, Highway 322",False
e2294476-d094-44fa-85f2-88464d6fad92,TA Express New Haven,CT,interstate,I-95,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-95, Exit 56",False
